qafi1,qafi2,qafisplit1,qafisplit2
HEM3,PTEN,PPM1D,PTEN
MSH2,NUD15,CBS,NUD15
CASP7,SHOC2,CASP3,CASP3
NUD15,OTC,SERC,AMINOGLYCOSIDE KINASE
PHOT,VKOR1,SHOC2,KCNJ2
AMINOGLYCOSIDE KINASE,HSP90,SC6A4,CBS
PTEN,SUMO1,SUMO1,HSP90
CASP3,PPARG,OTC,Q59976
S22A1,ALIPHATIC AMIDASE,AACC1,AACC1
GFP,BRCA1,NUD15,MTH3
,PHOT,VKOR1,S22A1
,S22A1,PAB1,PHOT
,TPMT,MTH3,A4GRB6
,CBS,Q59976,SUMO1
,PAB1,TEM1,TPMT
,PPM1D,BRCA1,MET
,PRKN,A4GRB6,HEM3
,MSH2,KCNJ2,BRCA1
,TP53,PHOT,PRKN
,MET,MET,ADRB2
,CP2C9,CP2C9,MSH2
,TEM1,MSH2,PPM1D
,A4GRB6,S22A1,TEM1
,SERC,PRKN,CP2C9
,ADRB2,TP53,TP53
,MTH3,HEM3,PPARG
,GFP,TPMT,SC6A4
,AACC1,ADRB2,VKOR1
,CASP3,PTEN,GDIA
,RASK,PPARG,GFP